time,open,high,low,close,volume
2024-11-01 11:08:00,207.6951,207.7744,207.6752,207.7744,4470
2024-11-01 11:09:00,207.7744,207.8538,207.6752,207.7348,7867
2024-11-01 11:10:00,207.8538,207.8836,207.8538,207.8737,2918
2024-11-01 11:11:00,207.8836,207.9431,207.8637,207.8836,3692
2024-11-01 11:12:00,207.8935,207.9034,207.8737,207.8985,3805
2024-11-01 11:13:00,207.9332,207.9332,207.8687,207.8687,2432
2024-11-01 11:14:00,207.9282,207.9927,207.9282,207.9761,5087
2024-11-01 11:15:00,207.9629,207.9927,207.9233,207.9778,2983
2024-11-01 11:16:00,207.9828,207.9828,207.8439,207.8439,4113
2024-11-01 11:17:00,207.8141,207.8203,207.7149,207.7149,4380
2024-11-01 11:18:00,207.7149,207.7348,207.7000,207.7000,2507
2024-11-01 11:19:00,207.7247,207.7248,207.6306,207.7248,4222
2024-11-01 11:20:00,207.6951,207.7298,207.5859,207.5859,5749
2024-11-01 11:21:00,207.5959,207.5959,207.4867,207.5363,3688
2024-11-01 11:22:00,207.5363,207.5462,207.4818,207.5016,2947
2024-11-01 11:23:00,207.4768,207.5562,207.4669,207.5264,5293
2024-11-01 11:24:00,207.5363,207.5868,207.4768,207.5868,3560
2024-11-01 11:25:00,207.5661,207.5909,207.5512,207.5909,4478
2024-11-01 11:26:00,207.6157,207.6157,207.5859,207.6008,2071
2024-11-01 11:27:00,207.6157,207.6901,207.6157,207.6802,4897
2024-11-01 11:28:00,207.7050,207.8141,207.7050,207.8092,3972
2024-11-01 11:29:00,207.7943,207.8042,207.7556,207.7943,2769
2024-11-01 11:30:00,207.8141,207.8637,207.7943,207.8538,7634
2024-11-01 11:31:00,207.8637,207.8637,207.7744,207.8340,6635
2024-11-01 11:32:00,207.8538,208.0026,207.8538,207.9530,4326
2024-11-01 11:33:00,207.9332,207.9530,207.8991,207.9183,2697
2024-11-01 11:34:00,207.9332,208.0622,207.9332,208.0622,2925
2024-11-01 11:35:00,208.0126,208.0126,207.9431,207.9629,5674
2024-11-01 11:36:00,207.9840,208.0324,207.9084,207.9084,10006
2024-11-01 11:37:00,207.9233,208.0026,207.9233,207.9644,1550
2024-11-01 11:38:00,207.9431,207.9717,207.9332,207.9580,3440
2024-11-01 11:39:00,207.9332,208.0126,207.9332,208.0126,2640
2024-11-01 11:40:00,207.9877,208.1018,207.9877,208.0969,8160
2024-11-01 11:41:00,208.0721,208.0820,208.0026,208.0622,4704
2024-11-01 11:42:00,208.0522,208.0522,207.9431,207.9530,3065
2024-11-01 11:43:00,207.9828,207.9828,207.8667,207.8985,2259
2024-11-01 11:44:00,207.9431,207.9927,207.8737,207.9084,3489
2024-11-01 11:45:00,207.9332,208.0026,207.9034,207.9580,5485
2024-11-01 11:46:00,207.9729,207.9729,207.9233,207.9431,2581
2024-11-01 11:47:00,207.9381,207.9629,207.9332,207.9600,1513
2024-11-01 11:48:00,207.9481,208.0721,207.9481,208.0026,6651
2024-11-01 11:49:00,207.9877,208.1812,207.9877,208.1614,8187
2024-11-01 11:50:00,208.1366,208.1366,208.0324,208.1217,6954
2024-11-01 11:51:00,208.0919,208.0919,207.7943,207.8191,7070
2024-11-01 11:52:00,207.8340,207.8737,207.8042,207.8340,5977
2024-11-01 11:53:00,207.8637,207.8836,207.8439,207.8762,2234
2024-11-01 11:54:00,207.8737,207.9034,207.8538,207.8935,3360
2024-11-01 11:55:00,207.8737,207.8935,207.8092,207.8141,3894
2024-11-01 11:56:00,207.8042,207.8439,207.7744,207.8092,6391
2024-11-01 11:57:00,207.7992,207.8340,207.7744,207.8141,6074
2024-11-01 11:58:00,207.7893,207.7893,207.7199,207.7397,5599
2024-11-01 11:59:00,207.7447,207.8141,207.7348,207.7780,6001
2024-11-01 12:00:00,207.7422,207.7943,207.7422,207.7794,6739
2024-11-01 12:01:00,207.7744,208.0423,207.7645,208.0423,5897
2024-11-01 12:02:00,208.0423,208.0919,208.0126,208.0404,3800
2024-11-01 12:03:00,208.0622,208.1316,208.0324,208.1316,4465
2024-11-01 12:04:00,208.1415,208.1515,208.0622,208.0622,7357
2024-11-01 12:05:00,208.0572,208.0770,208.0522,208.0721,1114
2024-11-01 12:06:00,208.1018,208.1614,208.1018,208.1316,4101
2024-11-01 12:07:00,208.1564,208.1713,208.0919,208.0919,6152
2024-11-01 12:08:00,208.1068,208.1663,208.0969,208.1614,2535
2024-11-01 12:09:00,208.1911,208.1911,208.1415,208.1415,3623
2024-11-01 12:10:00,208.1564,208.1663,207.9729,207.9927,7513
2024-11-01 12:11:00,207.9729,207.9729,207.8393,207.8393,4319
2024-11-01 12:12:00,207.8538,207.9431,207.8240,207.9295,5765
2024-11-01 12:13:00,207.9133,207.9629,207.8885,207.9629,2793
2024-11-01 12:14:00,207.9679,207.9679,207.8538,207.8699,3131
2024-11-01 12:15:00,207.8637,207.8836,207.8439,207.8538,2528
2024-11-01 12:16:00,207.8538,207.8737,207.8340,207.8737,5484
2024-11-01 12:17:00,207.8935,207.9729,207.8935,207.9233,2634
2024-11-01 12:18:00,207.9580,207.9580,207.9233,207.9233,1717
2024-11-01 12:19:00,207.8538,207.8836,207.8488,207.8538,2484
2024-11-01 12:20:00,207.8836,207.8836,207.7622,207.8140,7726
2024-11-01 12:21:00,207.7794,207.8240,207.7348,207.7844,10655
2024-11-01 12:22:00,207.8636,207.8920,207.8290,207.8439,2989
2024-11-01 12:23:00,207.8488,207.8935,207.8240,207.8538,3439
2024-11-01 12:24:00,207.8935,207.9133,207.8574,207.8588,2834
2024-11-01 12:25:00,207.8637,207.8687,207.8240,207.8340,4365
2024-11-01 12:26:00,207.8254,207.8637,207.8240,207.8637,2037
2024-11-01 12:27:00,207.8340,207.8340,207.7645,207.7943,3309
2024-11-01 12:28:00,207.8141,207.8141,207.5760,207.6058,4906
2024-11-01 12:29:00,207.5860,207.5860,207.4570,207.4849,4915
2024-11-01 12:30:00,207.4470,207.5611,207.4470,207.5611,4985
2024-11-01 12:31:00,207.5760,207.6802,207.5611,207.6455,3357
2024-11-01 12:32:00,207.7513,207.7513,207.6554,207.7248,2389
2024-11-01 12:33:00,207.6951,207.8240,207.6951,207.8042,2864
2024-11-01 12:34:00,207.8240,207.8340,207.7645,207.7744,2945
2024-11-01 12:35:00,207.7447,207.8042,207.7447,207.7546,3727
2024-11-01 12:36:00,207.7546,207.8240,207.7546,207.7744,3249
2024-11-01 12:37:00,207.7744,207.7744,207.6901,207.7348,2343
2024-11-01 12:38:00,207.7645,207.7844,207.7596,207.7744,2260
2024-11-01 12:39:00,207.7744,207.8141,207.7744,207.7893,1972
2024-11-01 12:40:00,207.7844,207.7844,207.6058,207.6058,2730
2024-11-01 12:41:00,207.6107,207.6107,207.5661,207.5661,1292
2024-11-01 12:42:00,207.5363,207.5363,207.4966,207.5066,1783
2024-11-01 12:43:00,207.4672,207.5012,207.3081,207.3280,9479
2024-11-01 12:44:00,207.3379,207.3677,207.3379,207.3478,2233
2024-11-01 12:45:00,207.3181,207.3875,207.3181,207.3875,2047
2024-11-01 12:46:00,207.3974,207.4371,207.3974,207.4073,1596
2024-11-01 12:47:00,207.3776,207.3776,207.2387,207.2387,11722
2024-11-01 12:48:00,207.2387,207.3181,207.2387,207.3181,3148
2024-11-01 12:49:00,207.2982,207.3677,207.2982,207.3379,3336
2024-11-01 12:50:00,207.3379,207.3577,207.3081,207.3397,3309
2024-11-01 12:51:00,207.3677,207.3677,207.3183,207.3379,2232
2024-11-01 12:52:00,207.3379,207.3974,207.3280,207.3776,2892
2024-11-01 12:53:00,207.3776,207.3776,207.3478,207.3627,2468
2024-11-01 12:54:00,207.3478,207.3677,207.3081,207.3677,4801
2024-11-01 12:55:00,207.3329,207.3478,207.2784,207.2784,5650
2024-11-01 12:56:00,207.2982,207.2982,207.1196,207.1646,9365
2024-11-01 12:57:00,207.1395,207.1593,207.0998,207.0998,2481
2024-11-01 12:58:00,207.0601,207.0998,207.0551,207.0998,1604
2024-11-01 12:59:00,207.1196,207.2585,207.0998,207.2387,6506
2024-11-01 13:00:00,207.2883,207.3974,207.2883,207.3726,2736
2024-11-01 13:01:00,207.3577,207.3677,207.2982,207.3162,2047
2024-11-01 13:02:00,207.3478,207.3925,207.2982,207.3874,3613
2024-11-01 13:03:00,207.3528,207.3528,207.2982,207.2982,1607
2024-11-01 13:04:00,207.3329,207.3329,207.3280,207.3280,1044
2024-11-01 13:05:00,207.3429,207.3429,207.3280,207.3379,2368
2024-11-01 13:06:00,207.3195,207.3318,207.2784,207.3081,2559
2024-11-01 13:07:00,207.3181,207.3577,207.3181,207.3478,1674
2024-11-01 13:08:00,207.3280,207.3280,207.1692,207.1990,3996
2024-11-01 13:09:00,207.1841,207.2585,207.1692,207.2288,3879
2024-11-01 13:10:00,207.2188,207.2188,207.1196,207.1196,3584
2024-11-01 13:11:00,207.1014,207.1395,207.0916,207.0916,2573
2024-11-01 13:12:00,207.1593,207.2585,207.1494,207.2585,3055
2024-11-01 13:13:00,207.3081,207.3875,207.2684,207.3776,6739
2024-11-01 13:14:00,207.3925,207.4073,207.3875,207.3875,2077
2024-11-01 13:15:00,207.3776,207.4734,207.3776,207.4470,3413
2024-11-01 13:16:00,207.4272,207.4917,207.3974,207.4768,3622
2024-11-01 13:17:00,207.4867,207.5462,207.4867,207.5462,2816
2024-11-01 13:18:00,207.5264,207.6256,207.5264,207.5661,4596
2024-11-01 13:19:00,207.5959,207.6653,207.5661,207.6653,4096
2024-11-01 13:20:00,207.6157,207.6554,207.5859,207.6554,2120
2024-11-01 13:21:00,207.6951,207.8240,207.6951,207.7744,9195
2024-11-01 13:22:00,207.7645,207.7844,207.7348,207.7794,4133
2024-11-01 13:23:00,207.7893,207.8935,207.7893,207.8737,2742
2024-11-01 13:24:00,207.9233,207.9629,207.8935,207.9133,4754
2024-11-01 13:25:00,207.8935,207.9361,207.8935,207.9133,2582
2024-11-01 13:26:00,207.9431,208.0026,207.9332,208.0026,4730
2024-11-01 13:27:00,207.9828,208.0721,207.9729,208.0126,3751
2024-11-01 13:28:00,208.0572,208.0572,207.9629,207.9877,3171
2024-11-01 13:29:00,207.9874,208.0225,207.9133,207.9431,3729
2024-11-01 13:30:00,207.9729,207.9729,207.9133,207.9282,2820
